"Source","Open External Documentation","⇧F2","Editing Ant Buildfiles"
"Task Repositories","Mark Task Read","⇧⌥R","In Tasks Editor"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"C/C++ Source","Toggle Source/Header","⌃Tab","C/C++ Editor"
"Run/Debug","Debug JUnit Test","⌃⌥⌘D T","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Navigate","Activate Task","⌘F9","In Windows"
"Project","Make Target Build","⇧F9","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Text Editing","Text Start","⌘↖","Editing Text"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"File","Save All","⌃X S","In Windows"
"Text Editing","Cut to Beginning of Line","⌥0 ⌃K","Editing Text"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Run/Debug","Run to Line","⌘R","Debugging"
"C/C++ Source","Open Declaration","F3","In C/C++ Views"
"Text Editing","Expand","⌘Numpad_Add","Editing Text"
"Makefile Source","Open declaration","F3","Makefile Editor"
"Edit","Undo","⇧⌃-","In Windows"
"Source","Remove Block Comment","⇧⌘\","Editing Java Source"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Edit","Redo","⇧⌃+","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Run/Debug","Display","⇧⌘D","In Dialogs and Windows"
"Text Editing","Page Down","⌃V","Editing Text"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"Text Editing","Previous Word","Esc B","Editing Text"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Text Editing","Line Down","⌃N","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Task Editor","Submit Task","⇧⌥S","In Tasks Editor"
"Edit","Incremental Find","⌃S","Editing Text"
"Text Editing","Text End","↘","Editing Text"
"Task Repositories","Mark Task Unread","⇧⌥U","In Tasks View"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Edit","Restore Last Selection","⇧⌃↓","Editing Java Source"
"File","Print","Esc F9","In Windows"
"File","Properties","⌥↩","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","⇧⌥↑","In Tasks View"
"Window","Show Context Menu","⇧F10","In Dialogs and Windows"
"C/C++ Source","Surround With Quick Menu","⌥⌘Z","C/C++ Editor"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Source","Rename In File","⌥⌘R","Editing Ant Buildfiles"
"C/C++ Source","Show Source Quick Menu","⌥⌘S","C/C++ Editor"
"C/C++ Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Source","Surround With Quick Menu","⌥⌘Z","In Windows"
"Navigate","Open Task","⌥⌘F12","In Windows"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Text Editing","Next Word","⌥→","Editing Text"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"C/C++ Source","Toggle Mark Occurrences","⌥⌘O","C/C++ Editor"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"Text Editing","Scroll Line Up","⌃↑","Editing Text"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"C/C++ Source","References","⇧⌘G","In C/C++ Views"
"Edit","Find Previous","⇧⌘K","Editing Text"
"Text Editing","Scroll Line Down","⌃↓","Editing Text"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks View"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views"
"Navigate","Open Type Hierarchy","F4","In Windows"
"C/C++ Source","Quick Type Hierarchy","⌘T","C/C++ Editor"
"Window","Quick Switch Editor","⌃X B","In Windows"
"Task Repositories","Mark Task Incomplete","⇧⌥I","In Tasks Editor"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"Text Editing","Text Start","Esc <","Editing Text"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Edit","Select Previous Element","⇧⌃←","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"Run/Debug","New Rendering","⌘N","In Memory View"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","C/C++ Editor"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Navigate","Go to Line","⌘L","Editing Text"
"Text Editing","Swap Mark","⌃X ⌃X","Editing Text"
"Edit","Select All","⌃X H","In Dialogs and Windows"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Navigate","Go to Line","⌃X G","Editing Text"
"Edit","Content Assist","⌃R","In Dialogs and Windows"
"Source","Toggle Comment","⌘7","Editing Java Source"
